Label,Total Attempts,Duration (s),Attempts/Sec,Avg Latency (ms),Median Latency (ms),90% Latency (ms),Time to Crack (s)
BruteForce (groupA),2000,12.54,159.52,6.16,5.08,9.05,
BruteForce (groupB),2000,9.45,211.56,4.64,4.02,6.52,
BruteForce (groupC),2000,624.62,3.2,312.32,296.52,384.57,
BruteForce (groupD),2000,180.63,11.07,90.23,86.52,105.74,
BruteForce (groupE),2000,183.91,10.88,91.86,84.2,110.44,
Spraying (groupA),1500,177.41,8.45,118.2,65.69,282.46,3.67
Spraying (groupB),1500,189.2,7.93,126.05,70.0,293.96,3.14
Spraying (groupC),1500,195.31,7.68,130.12,86.02,304.91,4.15
Spraying (groupD),1500,230.26,6.51,153.4,90.06,341.89,4.68
Spraying (groupE),1500,209.55,7.16,139.61,84.46,307.41,5.63
